c_{A0}                        ;Q_{1}                         ;T_{1}                         ;L                             ;c_{A}                         ;c_{B}                         ;T_{2}                         ;Q_{5}                         ;Q_{4}                         ;T_{3}                         ;\mathrm{PCW}                  ;\mathrm{CNT}_{1}              ;\mathrm{CNT}_{3}=SP_{Q_{5}}   ;\mathrm{CNT}_{2}              ;\mathrm{INV\ CON}             ;\mathrm{CW\ DP\ CON}          ;\mathrm{EFFL\ DP\ CON}        ;\mathrm{MOLBAL\ CON}          ;     CLASS
    0.20246E+02;    0.25090E+00;    0.30132E+02;    0.20067E+01;    0.28458E+01;    0.17178E+02;    0.80243E+02;    0.90167E+00;    0.25111E+00;    0.20058E+02;    0.56902E+05;    0.25156E+02;    0.40827E+02;    0.90055E+00;    0.10969E-01;   -0.61533E-02;    0.13745E-02;    0.35153E+00; normal    
    0.20075E+02;    0.24841E+00;    0.29954E+02;    0.19912E+01;    0.28554E+01;    0.17178E+02;    0.80067E+02;    0.90451E+00;    0.25053E+00;    0.19961E+02;    0.56511E+05;    0.24754E+02;    0.40807E+02;    0.89655E+00;   -0.12267E-01;    0.26325E-03;    0.26465E-02;   -0.91489E-01; normal    
    0.19953E+02;    0.25041E+00;    0.30210E+02;    0.19972E+01;    0.28384E+01;    0.17027E+02;    0.80039E+02;    0.90758E+00;    0.25240E+00;    0.19946E+02;    0.55864E+05;    0.25501E+02;    0.40300E+02;    0.89593E+00;   -0.22504E-02;    0.20438E-01;    0.11440E-02;   -0.39558E+00; normal    
    0.19977E+02;    0.24933E+00;    0.29756E+02;    0.19950E+01;    0.28460E+01;    0.17172E+02;    0.80030E+02;    0.90379E+00;    0.25180E+00;    0.20095E+02;    0.56152E+05;    0.25238E+02;    0.40670E+02;    0.90294E+00;   -0.44999E-02;    0.56507E-02;    0.17255E-02;    0.10878E-01; normal    
    0.19923E+02;    0.25114E+00;    0.30157E+02;    0.19919E+01;    0.28727E+01;    0.17212E+02;    0.80042E+02;    0.89519E+00;    0.25408E+00;    0.20060E+02;    0.56506E+05;    0.25013E+02;    0.40689E+02;    0.89571E+00;   -0.90036E-02;   -0.62147E-02;    0.50210E-02;    0.11697E+00; normal    
    0.19869E+02;    0.24913E+00;    0.29616E+02;    0.20031E+01;    0.28540E+01;    0.17258E+02;    0.79870E+02;    0.89763E+00;    0.25240E+00;    0.19958E+02;    0.56061E+05;    0.24932E+02;    0.40567E+02;    0.89820E+00;    0.86866E-02;    0.26425E-02;    0.36795E-02;    0.53361E+00; normal    
    0.19825E+02;    0.24647E+00;    0.29952E+02;    0.20150E+01;    0.28600E+01;    0.17196E+02;    0.80023E+02;    0.89743E+00;    0.25271E+00;    0.19930E+02;    0.56085E+05;    0.25257E+02;    0.40488E+02;    0.90471E+00;    0.26859E-01;    0.41115E-02;    0.24955E-02;    0.72460E+00; normal    
    0.19856E+02;    0.25235E+00;    0.29814E+02;    0.19997E+01;    0.28807E+01;    0.17058E+02;    0.80232E+02;    0.89120E+00;    0.24730E+00;    0.19806E+02;    0.55687E+05;    0.25211E+02;    0.40363E+02;    0.90109E+00;    0.43506E-02;    0.39858E-02;   -0.26678E-02;   -0.75429E-01; normal    
    0.19941E+02;    0.25021E+00;    0.29864E+02;    0.19874E+01;    0.28507E+01;    0.16904E+02;    0.79781E+02;    0.88643E+00;    0.24384E+00;    0.19807E+02;    0.56828E+05;    0.25418E+02;    0.40646E+02;    0.89628E+00;   -0.13868E-01;   -0.16539E-01;   -0.70195E-02;   -0.98923E+00; normal    
    0.19987E+02;    0.25098E+00;    0.29929E+02;    0.20070E+01;    0.28259E+01;    0.16820E+02;    0.80228E+02;    0.90530E+00;    0.25001E+00;    0.19955E+02;    0.55910E+05;    0.25212E+02;    0.40533E+02;    0.89776E+00;    0.15945E-01;    0.12315E-01;    0.25089E-04;   -0.74032E+00; normal    
    0.19929E+02;    0.24780E+00;    0.29999E+02;    0.19899E+01;    0.28405E+01;    0.17051E+02;    0.80071E+02;    0.89694E+00;    0.24620E+00;    0.19836E+02;    0.56549E+05;    0.24952E+02;    0.40650E+02;    0.89359E+00;   -0.99376E-02;   -0.38858E-02;   -0.25803E-02;   -0.51978E+00; normal    
    0.20159E+02;    0.25155E+00;    0.30237E+02;    0.20094E+01;    0.28567E+01;    0.17121E+02;    0.80170E+02;    0.88247E+00;    0.25178E+00;    0.19937E+02;    0.55960E+05;    0.25309E+02;    0.40596E+02;    0.91110E+00;    0.18590E-01;   -0.12385E-01;    0.13450E-02;    0.30039E+00; normal    
    0.19857E+02;    0.24679E+00;    0.30082E+02;    0.19982E+01;    0.28186E+01;    0.17064E+02;    0.80332E+02;    0.89483E+00;    0.25526E+00;    0.20083E+02;    0.55847E+05;    0.24589E+02;    0.40702E+02;    0.89426E+00;    0.59147E-03;   -0.16137E-02;    0.81081E-02;   -0.34852E+00; normal    
    0.20072E+02;    0.24996E+00;    0.29931E+02;    0.20012E+01;    0.28390E+01;    0.17233E+02;    0.80027E+02;    0.89472E+00;    0.24729E+00;    0.19920E+02;    0.56308E+05;    0.25203E+02;    0.40454E+02;    0.90237E+00;    0.48466E-02;    0.42029E-03;   -0.26433E-02;    0.29842E+00; normal    
    0.19714E+02;    0.25069E+00;    0.29951E+02;    0.20071E+01;    0.28624E+01;    0.17314E+02;    0.80244E+02;    0.91526E+00;    0.25435E+00;    0.19768E+02;    0.55949E+05;    0.25629E+02;    0.40861E+02;    0.89430E+00;    0.14077E-01;    0.14270E-01;    0.24923E-02;    0.79721E+00; normal    
    0.19972E+02;    0.25021E+00;    0.29847E+02;    0.19949E+01;    0.28656E+01;    0.17098E+02;    0.79908E+02;    0.89914E+00;    0.25213E+00;    0.20102E+02;    0.55825E+05;    0.25675E+02;    0.40369E+02;    0.90175E+00;   -0.43477E-02;    0.10676E-01;    0.10037E-03;   -0.21533E+00; normal    
    0.19963E+02;    0.24513E+00;    0.30048E+02;    0.20047E+01;    0.28548E+01;    0.17072E+02;    0.79952E+02;    0.90026E+00;    0.24932E+00;    0.19999E+02;    0.56412E+05;    0.24700E+02;    0.40625E+02;    0.89216E+00;    0.10526E-01;    0.11100E-02;    0.16419E-02;   -0.42926E-01; normal    
    0.19903E+02;    0.24914E+00;    0.29941E+02;    0.20032E+01;    0.28597E+01;    0.16951E+02;    0.79963E+02;    0.89744E+00;    0.24527E+00;    0.19995E+02;    0.56241E+05;    0.24430E+02;    0.40763E+02;    0.89004E+00;    0.75944E-02;   -0.35981E-02;   -0.11814E-02;   -0.46665E+00; normal    
    0.20092E+02;    0.24947E+00;    0.30114E+02;    0.19809E+01;    0.28503E+01;    0.17106E+02;    0.80088E+02;    0.89335E+00;    0.25023E+00;    0.20438E+02;    0.56829E+05;    0.25104E+02;    0.40811E+02;    0.90859E+00;   -0.26094E-01;   -0.13507E-01;    0.79343E-03;   -0.71467E+00; normal    
    0.20170E+02;    0.25464E+00;    0.30066E+02;    0.20084E+01;    0.28315E+01;    0.17029E+02;    0.80135E+02;    0.89822E+00;    0.24993E+00;    0.19983E+02;    0.56091E+05;    0.24958E+02;    0.40654E+02;    0.89654E+00;    0.14303E-01;    0.94135E-03;    0.10771E-02;   -0.20880E+00; normal    
    0.19978E+02;    0.25233E+00;    0.29956E+02;    0.20129E+01;    0.28485E+01;    0.17071E+02;    0.80175E+02;    0.90562E+00;    0.25263E+00;    0.20059E+02;    0.56029E+05;    0.24808E+02;    0.40446E+02;    0.89013E+00;    0.21360E-01;    0.13744E-01;    0.44422E-02;    0.10445E+00; normal    
    0.20099E+02;    0.24847E+00;    0.30121E+02;    0.20029E+01;    0.28399E+01;    0.17083E+02;    0.80014E+02;    0.89710E+00;    0.24990E+00;    0.19865E+02;    0.56308E+05;    0.24724E+02;    0.40521E+02;    0.90363E+00;    0.67107E-02;    0.12181E-02;    0.21238E-02;   -0.18751E+00; normal    
    0.20239E+02;    0.25006E+00;    0.30036E+02;    0.19943E+01;    0.28610E+01;    0.16878E+02;    0.80079E+02;    0.90145E+00;    0.24960E+00;    0.20035E+02;    0.56233E+05;    0.24968E+02;    0.40338E+02;    0.88871E+00;   -0.69631E-02;    0.10483E-01;    0.73596E-03;   -0.10158E+01; normal    
    0.20097E+02;    0.25048E+00;    0.29788E+02;    0.19917E+01;    0.28617E+01;    0.17359E+02;    0.79990E+02;    0.88946E+00;    0.25064E+00;    0.19976E+02;    0.56697E+05;    0.24833E+02;    0.40244E+02;    0.90478E+00;   -0.11577E-01;   -0.29377E-02;    0.23940E-02;    0.32038E+00; normal    
    0.19996E+02;    0.24922E+00;    0.29840E+02;    0.20142E+01;    0.28236E+01;    0.17116E+02;    0.79913E+02;    0.89687E+00;    0.25136E+00;    0.19780E+02;    0.56123E+05;    0.25639E+02;    0.40805E+02;    0.90256E+00;    0.21789E-01;   -0.41990E-02;   -0.55864E-03;    0.14480E+00; normal    
    0.19801E+02;    0.24959E+00;    0.30060E+02;    0.19967E+01;    0.28292E+01;    0.16971E+02;    0.80133E+02;    0.90200E+00;    0.25258E+00;    0.19913E+02;    0.56168E+05;    0.25454E+02;    0.40865E+02;    0.89850E+00;   -0.43149E-02;   -0.84969E-03;    0.15311E-02;   -0.79297E+00; normal    
    0.19743E+02;    0.24938E+00;    0.29870E+02;    0.20024E+01;    0.28490E+01;    0.17007E+02;    0.79997E+02;    0.90506E+00;    0.24953E+00;    0.20173E+02;    0.56024E+05;    0.25303E+02;    0.41036E+02;    0.91079E+00;    0.46792E-02;   -0.64456E-03;   -0.85399E-03;   -0.44054E+00; normal    
    0.20194E+02;    0.25253E+00;    0.29948E+02;    0.19929E+01;    0.28606E+01;    0.17197E+02;    0.80215E+02;    0.90964E+00;    0.24455E+00;    0.19930E+02;    0.57213E+05;    0.25942E+02;    0.41232E+02;    0.88940E+00;   -0.91792E-02;   -0.10284E-01;   -0.86564E-02;   -0.11509E+00; normal    
    0.20049E+02;    0.25203E+00;    0.29990E+02;    0.20169E+01;    0.28181E+01;    0.17245E+02;    0.79960E+02;    0.90932E+00;    0.25212E+00;    0.20300E+02;    0.55803E+05;    0.24805E+02;    0.40629E+02;    0.90084E+00;    0.26592E-01;    0.14937E-01;    0.39336E-02;    0.62132E+00; normal    
    0.20220E+02;    0.24726E+00;    0.30054E+02;    0.20259E+01;    0.28411E+01;    0.17325E+02;    0.80122E+02;    0.90369E+00;    0.24698E+00;    0.20009E+02;    0.56091E+05;    0.25412E+02;    0.40617E+02;    0.89551E+00;    0.40139E-01;    0.72817E-02;   -0.39485E-02;    0.12145E+01; normal    
    0.19980E+02;    0.24883E+00;    0.30156E+02;    0.19876E+01;    0.28744E+01;    0.17028E+02;    0.79994E+02;    0.91808E+00;    0.24921E+00;    0.20123E+02;    0.56219E+05;    0.25654E+02;    0.40853E+02;    0.90112E+00;   -0.17629E-01;    0.15084E-01;   -0.27107E-02;   -0.74119E+00; normal    
    0.20114E+02;    0.24694E+00;    0.29951E+02;    0.19889E+01;    0.28463E+01;    0.16931E+02;    0.80066E+02;    0.90470E+00;    0.25082E+00;    0.20079E+02;    0.56729E+05;    0.25002E+02;    0.40779E+02;    0.90894E+00;   -0.15816E-01;   -0.62417E-03;    0.18181E-02;   -0.10810E+01; normal    
    0.20022E+02;    0.24727E+00;    0.29788E+02;    0.20003E+01;    0.28796E+01;    0.16993E+02;    0.79898E+02;    0.91502E+00;    0.24775E+00;    0.20112E+02;    0.56548E+05;    0.25683E+02;    0.40834E+02;    0.90876E+00;    0.59194E-03;    0.98595E-02;   -0.43237E-02;   -0.47010E+00; normal    
    0.20083E+02;    0.24904E+00;    0.30045E+02;    0.19889E+01;    0.28625E+01;    0.17282E+02;    0.79960E+02;    0.90089E+00;    0.25247E+00;    0.20039E+02;    0.55948E+05;    0.24822E+02;    0.40625E+02;    0.90475E+00;   -0.16595E-01;    0.54432E-02;    0.42852E-02;   -0.52331E-02; normal    
    0.19860E+02;    0.24789E+00;    0.30198E+02;    0.20048E+01;    0.28113E+01;    0.16962E+02;    0.79728E+02;    0.88731E+00;    0.24690E+00;    0.19654E+02;    0.56461E+05;    0.25549E+02;    0.40850E+02;    0.89749E+00;    0.70844E-02;   -0.17531E-01;   -0.45872E-02;   -0.65466E+00; normal    
    0.20227E+02;    0.24894E+00;    0.30160E+02;    0.19942E+01;    0.28622E+01;    0.17254E+02;    0.80103E+02;    0.89246E+00;    0.24642E+00;    0.20325E+02;    0.56170E+05;    0.25197E+02;    0.40780E+02;    0.89146E+00;   -0.87526E-02;   -0.84254E-02;   -0.34678E-02;    0.66620E-01; normal    
    0.20210E+02;    0.24904E+00;    0.30050E+02;    0.19982E+01;    0.28319E+01;    0.17195E+02;    0.79948E+02;    0.89127E+00;    0.24988E+00;    0.19961E+02;    0.56401E+05;    0.24918E+02;    0.40671E+02;    0.90401E+00;   -0.20516E-02;   -0.88892E-02;    0.12408E-02;   -0.71546E-01; normal    
    0.20347E+02;    0.24731E+00;    0.29906E+02;    0.19988E+01;    0.28238E+01;    0.17015E+02;    0.80215E+02;    0.89825E+00;    0.25407E+00;    0.20164E+02;    0.56384E+05;    0.25175E+02;    0.40770E+02;    0.89632E+00;   -0.10627E-02;   -0.41016E-02;    0.42646E-02;   -0.62034E+00; normal    
    0.20098E+02;    0.25036E+00;    0.30323E+02;    0.20050E+01;    0.28720E+01;    0.17189E+02;    0.79967E+02;    0.90422E+00;    0.25610E+00;    0.19923E+02;    0.56938E+05;    0.25670E+02;    0.40223E+02;    0.90752E+00;    0.80083E-02;    0.10405E-01;    0.40750E-02;    0.23065E+00; normal    
    0.20001E+02;    0.25305E+00;    0.30096E+02;    0.19897E+01;    0.28801E+01;    0.17018E+02;    0.79986E+02;    0.90488E+00;    0.24841E+00;    0.20100E+02;    0.56391E+05;    0.24750E+02;    0.41004E+02;    0.89191E+00;   -0.14686E-01;   -0.30254E-02;    0.54545E-03;   -0.69380E+00; normal    
    0.19967E+02;    0.25254E+00;    0.29982E+02;    0.20064E+01;    0.28160E+01;    0.16769E+02;    0.79925E+02;    0.89678E+00;    0.25289E+00;    0.20032E+02;    0.57186E+05;    0.24945E+02;    0.40688E+02;    0.89958E+00;    0.10375E-01;   -0.10019E-01;    0.41028E-02;   -0.11227E+01; normal    
    0.19963E+02;    0.24903E+00;    0.29887E+02;    0.20139E+01;    0.28686E+01;    0.17173E+02;    0.79858E+02;    0.89885E+00;    0.24953E+00;    0.20185E+02;    0.56689E+05;    0.25375E+02;    0.40413E+02;    0.89559E+00;    0.21542E-01;    0.25177E-02;   -0.12077E-02;    0.47291E+00; normal    
    0.19879E+02;    0.25330E+00;    0.29933E+02;    0.19930E+01;    0.27993E+01;    0.17170E+02;    0.79942E+02;    0.90652E+00;    0.24956E+00;    0.20043E+02;    0.56263E+05;    0.25060E+02;    0.40830E+02;    0.88947E+00;   -0.99285E-02;    0.37305E-02;    0.29334E-03;   -0.38531E+00; normal    
    0.19943E+02;    0.24800E+00;    0.29860E+02;    0.19923E+01;    0.28609E+01;    0.17193E+02;    0.80082E+02;    0.88954E+00;    0.24777E+00;    0.20002E+02;    0.55724E+05;    0.25887E+02;    0.40917E+02;    0.89099E+00;   -0.11326E-01;   -0.10961E-01;   -0.51892E-02;   -0.15472E+00; normal    
    0.20096E+02;    0.24545E+00;    0.30014E+02;    0.20245E+01;    0.28384E+01;    0.17021E+02;    0.80098E+02;    0.90136E+00;    0.24901E+00;    0.20014E+02;    0.55902E+05;    0.25335E+02;    0.40682E+02;    0.90022E+00;    0.37323E-01;    0.49454E-02;   -0.15778E-02;    0.23178E+00; normal    
    0.19875E+02;    0.24884E+00;    0.30112E+02;    0.20112E+01;    0.28531E+01;    0.17272E+02;    0.79988E+02;    0.88989E+00;    0.25072E+00;    0.20045E+02;    0.56611E+05;    0.25397E+02;    0.40490E+02;    0.90269E+00;    0.16858E-01;   -0.76598E-02;   -0.10269E-03;    0.62507E+00; normal    
    0.19886E+02;    0.25046E+00;    0.30126E+02;    0.19885E+01;    0.28578E+01;    0.17480E+02;    0.80269E+02;    0.89958E+00;    0.25271E+00;    0.19778E+02;    0.56543E+05;    0.25368E+02;    0.40262E+02;    0.89950E+00;   -0.16857E-01;    0.79470E-02;    0.20677E-02;    0.58500E+00; normal    
    0.20109E+02;    0.25208E+00;    0.29816E+02;    0.19921E+01;    0.28660E+01;    0.17075E+02;    0.80112E+02;    0.89963E+00;    0.25116E+00;    0.20145E+02;    0.55044E+05;    0.25134E+02;    0.40874E+02;    0.90412E+00;   -0.11643E-01;    0.56304E-02;    0.15535E-02;   -0.49557E+00; normal    
    0.20145E+02;    0.24900E+00;    0.30073E+02;    0.19875E+01;    0.28506E+01;    0.17026E+02;    0.80056E+02;    0.90390E+00;    0.24576E+00;    0.19764E+02;    0.57333E+05;    0.25179E+02;    0.40645E+02;    0.89168E+00;   -0.19504E-01;   -0.30408E-02;   -0.40301E-02;   -0.85558E+00; normal    
    0.20469E+02;    0.24819E+00;    0.29806E+02;    0.20033E+01;    0.28302E+01;    0.17123E+02;    0.80107E+02;    0.90533E+00;    0.25003E+00;    0.19786E+02;    0.56073E+05;    0.25437E+02;    0.40761E+02;    0.90160E+00;    0.41712E-02;    0.56980E-02;   -0.95685E-03;   -0.15435E+00; normal    
    0.19992E+02;    0.25068E+00;    0.29884E+02;    0.19982E+01;    0.28326E+01;    0.17062E+02;    0.80024E+02;    0.89912E+00;    0.24691E+00;    0.19970E+02;    0.56420E+05;    0.25215E+02;    0.40948E+02;    0.90254E+00;   -0.34167E-02;   -0.77002E-02;   -0.30736E-02;   -0.48827E+00; normal    
    0.19947E+02;    0.24904E+00;    0.29965E+02;    0.20013E+01;    0.28502E+01;    0.16949E+02;    0.80141E+02;    0.90930E+00;    0.24786E+00;    0.20037E+02;    0.55968E+05;    0.24820E+02;    0.40822E+02;    0.90074E+00;    0.10798E-02;    0.90693E-02;   -0.35135E-03;   -0.69049E+00; normal    
    0.19967E+02;    0.25276E+00;    0.30133E+02;    0.19975E+01;    0.28332E+01;    0.17093E+02;    0.79683E+02;    0.90524E+00;    0.24790E+00;    0.19831E+02;    0.56193E+05;    0.25020E+02;    0.40773E+02;    0.90580E+00;   -0.49280E-02;    0.43555E-02;   -0.12062E-02;   -0.41624E+00; normal    
    0.19986E+02;    0.24691E+00;    0.30192E+02;    0.19690E+01;    0.28568E+01;    0.17131E+02;    0.79849E+02;    0.88859E+00;    0.25299E+00;    0.20036E+02;    0.55833E+05;    0.25469E+02;    0.40854E+02;    0.88471E+00;   -0.47413E-01;   -0.11305E-01;    0.19460E-02;   -0.10786E+01; normal    
    0.19669E+02;    0.24795E+00;    0.30284E+02;    0.19878E+01;    0.28430E+01;    0.17198E+02;    0.80025E+02;    0.89825E+00;    0.24914E+00;    0.20274E+02;    0.55933E+05;    0.25190E+02;    0.40329E+02;    0.90519E+00;   -0.19931E-01;    0.98894E-02;   -0.69884E-03;   -0.38435E+00; normal    
    0.20253E+02;    0.24932E+00;    0.30074E+02;    0.20110E+01;    0.28737E+01;    0.16929E+02;    0.80022E+02;    0.90083E+00;    0.24689E+00;    0.20202E+02;    0.56330E+05;    0.25002E+02;    0.40680E+02;    0.91011E+00;    0.14138E-01;    0.10383E-02;   -0.21588E-02;   -0.42529E+00; normal    
    0.20192E+02;    0.25261E+00;    0.30099E+02;    0.19857E+01;    0.28322E+01;    0.17125E+02;    0.80137E+02;    0.89505E+00;    0.24903E+00;    0.20137E+02;    0.56634E+05;    0.24833E+02;    0.40592E+02;    0.89529E+00;   -0.24153E-01;   -0.50903E-02;    0.79642E-03;   -0.71202E+00; normal    
    0.20079E+02;    0.24847E+00;    0.29900E+02;    0.20127E+01;    0.28531E+01;    0.17243E+02;    0.80133E+02;    0.91241E+00;    0.25208E+00;    0.20069E+02;    0.56122E+05;    0.25415E+02;    0.40775E+02;    0.89793E+00;    0.16686E-01;    0.12056E-01;    0.11635E-02;    0.52478E+00; normal    
    0.19545E+02;    0.25004E+00;    0.29895E+02;    0.19976E+01;    0.28462E+01;    0.17054E+02;    0.79994E+02;    0.89694E+00;    0.25118E+00;    0.20084E+02;    0.56271E+05;    0.25798E+02;    0.40369E+02;    0.89223E+00;   -0.54149E-02;    0.49530E-02;   -0.13985E-02;   -0.50416E+00; normal    
    0.19955E+02;    0.24460E+00;    0.29718E+02;    0.20015E+01;    0.28481E+01;    0.17017E+02;    0.79791E+02;    0.89567E+00;    0.24613E+00;    0.20095E+02;    0.56356E+05;    0.25070E+02;    0.40707E+02;    0.89901E+00;    0.11197E-02;   -0.49792E-02;   -0.32084E-02;   -0.48289E+00; normal    
    0.19814E+02;    0.24998E+00;    0.29903E+02;    0.19957E+01;    0.28564E+01;    0.17028E+02;    0.80073E+02;    0.90162E+00;    0.25099E+00;    0.19866E+02;    0.56252E+05;    0.24813E+02;    0.40950E+02;    0.89488E+00;   -0.76296E-02;   -0.39092E-02;    0.28234E-02;   -0.61058E+00; normal    
    0.20124E+02;    0.25039E+00;    0.29986E+02;    0.20106E+01;    0.28505E+01;    0.16910E+02;    0.80144E+02;    0.90353E+00;    0.24951E+00;    0.20199E+02;    0.57032E+05;    0.24792E+02;    0.40824E+02;    0.89941E+00;    0.13951E-01;   -0.52778E-02;    0.14073E-02;   -0.57185E+00; normal    
    0.19758E+02;    0.24580E+00;    0.29974E+02;    0.20033E+01;    0.28714E+01;    0.17259E+02;    0.79867E+02;    0.88456E+00;    0.25107E+00;    0.20039E+02;    0.56122E+05;    0.24870E+02;    0.40514E+02;    0.90658E+00;    0.38308E-02;   -0.96763E-02;    0.26302E-02;    0.34188E+00; normal    
    0.19807E+02;    0.24885E+00;    0.30178E+02;    0.19958E+01;    0.28350E+01;    0.16911E+02;    0.80032E+02;    0.89017E+00;    0.25070E+00;    0.20035E+02;    0.56454E+05;    0.25335E+02;    0.40689E+02;    0.89319E+00;   -0.83294E-02;   -0.10835E-01;    0.19044E-03;   -0.10709E+01; normal    
    0.20004E+02;    0.24664E+00;    0.30060E+02;    0.20169E+01;    0.28584E+01;    0.17135E+02;    0.79942E+02;    0.90179E+00;    0.24467E+00;    0.19686E+02;    0.56521E+05;    0.25840E+02;    0.40793E+02;    0.90064E+00;    0.23552E-01;   -0.22031E-02;   -0.81452E-02;    0.30863E+00; normal    
